q1.5,EvFreq,CCattr,risk_YieldFuture,partnerlab,NbSyes,Cluster
"£10,000 to £20,000",Once a year,Mainly,Very much,No,NbSno,0
"£100,000 to £200,000",Once a year,Partly,Very much,Yes,NbSyes,0
"£20,000 to £50,000",Never,Not at all,No,No,NbSyes,2
"£10,000 to £20,000",Once a year,Mainly,Very much,No,NbSyes,0
"< £10,000",Once a year,Mainly,Very much,Yes,NbSno,0
"£10,000 to £20,000",Once every 2-3 years,Partly,No,Yes,NbSyes,0
"£10,000 to £20,000",More than once a year ,Mainly,Very much,Yes,NbSyes,0
"£20,000 to £50,000",Once every 2-3 years,Mainly,Very much,No,NbSyes,0
"£10,000 to £20,000",Once a year,Mainly,Very much,No,NbSyes,0
"£20,000 to £50,000",Once a year,Partly,To some extent,No,NbSyes,1
"£20,000 to £50,000",More than once a year ,Mainly,To some extent,Yes,NbSyes,0
"£50,000 to £100,000",Once every 2-3 years,Mainly,No,No,NbSno,2
"£20,000 to £50,000",Once every 2-3 years,Mainly,No,Yes,NbSyes,0
"£10,000 to £20,000",Never,Not at all,To some extent,No,NbSno,2
"£20,000 to £50,000",Never,Mainly,Very much,Yes,NbSyes,0
"£50,000 to £100,000",More than once a year ,Partly,To some extent,Yes,NbSyes,0
"£100,000 to £200,000",More than once a year ,Mainly,Very much,No,NbSno,0
"£20,000 to £50,000",Once a year,Mainly,Very much,No,NbSyes,0
"£10,000 to £20,000",Once a year,Partly,Very much,No,NbSyes,1
"£10,000 to £20,000",Once every 2-3 years,Partly,Very much,No,NbSyes,1
"£10,000 to £20,000",More than once a year ,Mainly,Very much,Yes,NbSyes,0
"£50,000 to £100,000",More than once a year ,Mainly,Very much,Yes,NbSyes,0
"£10,000 to £20,000",Once every 2-3 years,Partly,Very much,No,NbSyes,1
"£20,000 to £50,000",Once a year,Mainly,Very much,No,NbSyes,0
"£50,000 to £100,000",More than once a year ,Mainly,Very much,Yes,NbSyes,0
